model,F1,MCC,AUPRC,AUC
Logistic Regression,0.1073512252042007,0.08508885711818971,0.08304449091969172,0.6414085134833964
Decision Tree,0.4421052631578947,0.4237688522149047,0.2235640077903981,0.741509140885116
